资源名称,P2P下载地址
Dynamics AX 2009 (x86) - DVD (English),ed2k://|file|en_dynamics_ax_2009_x86_dvd_x14-85054.iso|1834129408|0576D386D9831473BAB9ED5CFBB26D21|/
Windows SharePoint Services 3.0 with Service Pack 1 (x86) (English),ed2k://|file|en_sharepoint_services_3.0_with_service_pack_1_x86.exe|109179544|7D28A033B29132131D301A71BCFFE576|/
Windows SharePoint Services 3.0 with Service Pack 1 (x86) (Chinese-Simplified),ed2k://|file|zh-hans_sharepoint_services_3.0_with_service_pack_1_x86.exe|109551208|1CA71DC5F84376F51EF9BAFAFB9D080F|/
Windows MultiPoint Mouse Software Development Kit 1.5.1 (x86 and x64) - (English),ed2k://|file|en_windows_multipoint_mouse_sdk_1.5.1.msi|1922560|24B3D88D5B9A6B38B493E588A04B0EBA|/
Windows Mobile 6.0 Standard SDK (English),ed2k://|file|en_windows_mobile_6_0_standard_sdk.msi|157869568|7753132B46130736CC24FCF33CE49FE4|/
Windows Media Player 7 (English),ed2k://|file|wmp7.exe|9547408|C31AF558F957C573138D80FF339B0E7D|/
Windows Installer Service 4.5 for Windows Embedded Standard 2009 (x86) - (English),ed2k://|file|en_windows_installer_service_4.5_for_windows_embedded_standard_2009_x86_472645.exe|1599848|45F412211B799ED8572AA9F10C6CF26F|/
Translation Glossary (English-UK),ed2k://|file|en_uk_translation_glossaries_x86.zip|151844|A88412D3A889E9C62A14A239CD039F5D|/
UI Strings Glossary March 2011 (x86 and x64) - (Chinese-Simplified),ed2k://|file|cn_ui_strings_glossary_march_2011_x86_x64_663684.zip|89850532|8255922D0C15EB2034E91A54EF37DE91|/
Platform SDK - April 2005 Edition (English),ed2k://|file|en_ws_2003_sp1_SDK_April_2005.iso|414361600|41777258C0736D9D3B8E3C0BA36DCC64|/
MSXML 4.0 Service Pack 3 (x86) - (Spanish),ed2k://|file|es_msxml_4.0_service_pack_3_x86.msi|2346496|6F14D0FFE57CF0E71641468CDA73BE72|/
MSXML 4.0 Service Pack 3 (x86) - (Korean),ed2k://|file|ko_msxml_4.0_service_pack_3_x86.msi|2620416|1879ADDCF76C132836D9C2CE1205981B|/
MSXML 4.0 Service Pack 3 (x86) - (Japanese),ed2k://|file|ja_msxml_4.0_service_pack_3_x86.msi|2396672|67B3ED2314AB1AE58621CF1A6E601992|/
MSXML 4.0 Service Pack 3 (x86) - (Italian),ed2k://|file|it_msxml_4.0_service_pack_3_x86.msi|2425856|5D76C5E5E8ECE1E17D42A7F923B1B7BF|/
MSXML 4.0 Service Pack 3 (x86) - (German),ed2k://|file|de_msxml_4.0_service_pack_3_x86.msi|2354176|116A27018B9D60787EFA14A5523A33E4|/
MSXML 4.0 Service Pack 3 (x86) - (French),ed2k://|file|fr_msxml_4.0_service_pack_3_x86.msi|2353664|8724081DFF556783C55DD7ACE8A73346|/
MSXML 4.0 Service Pack 3 (x86) - (Chinese-Traditional),ed2k://|file|ct_msxml_4.0_service_pack_3_x86.msi|2368000|543415A6FAB23C313CD9EB21AE062F03|/
MSXML 4.0 Service Pack 3 (x86) - MSI (English),ed2k://|file|en_msxml_4.0_service_pack_3_x86.msi|2434048|7DD843C43E17A71546F685C35CAD1802|/
MSXML 4.0 Service Pack 3 (x86) - (Chinese-Simplified),ed2k://|file|cn_msxml_4.0_service_pack_3_x86.msi|2373120|ABFEF286E3620313057B222B1699A732|/
Microsoft Developer Security Resource Kit (English),ed2k://|file|en_dev_security_resourcekit.iso|1400029184|8BF21E295B275D2A0DB03FACC4510CE5|/
.NET Framework 3.0 Redistributable Package (Simplified Chinese),ed2k://|file|cn_.net_framework_3.0_redistributable.exe|2945816|D229344339F30F1D0985E39942D827F0|/
.NET Framework Version 2.0 Redistributable Package (x86) (English),ed2k://|file|en_net_framework_20_redist_x86.exe|23510720|872528783A36DF8F7DF58EB453560057|/
.NET Framework Version 2.0 Redistributable Package (x86) (Simplified Chinese),ed2k://|file|cs_net_framework_20_redist_x86.exe|23510720|872528783A36DF8F7DF58EB453560057|/
".NET Framework 4.6.2 Preview (Offline Installer) for Windows 7 SP1, 8.1, 10, Windows Server 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - (Multiple Languages)",ed2k://|file|mu_.net_fx_4.6.2_preview_for_win_7sp1_8dot1_10_win_server_2008r2sp1_2012_2012r2_x86_x64_8482001.exe|63825120|28D3955ABD8757B02D3A7AB6A323145B|/
".NET Framework 4.6.2 (Offline Installer) for Windows 7 SP1, 8.1, 10, Windows Server 2008 SP2, 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - (Multiple Languages)",ed2k://|file|mu_.net_fx_4_6_2_for_win_7sp1_8dot1_10_win_server_2008sp2_2008r2sp1_2012_2012r2_x86_x64_9058211.exe|62008080|D36FDF083FF2970FD8B0080664AD32C6|/
".NET Framework 4.6.2 Developer Pack and Language Packs Windows 7 SP1, 8.1, 10, Windows Server 2008 SP2, 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - (English)",ed2k://|file|en_.net_fx_4_6_2_dp_lps_win_7sp1_8dot1_10_win_server_2008sp2_2008r2sp1_2012_2012r2_x86_x64_9058145.exe|86788848|064175480A208A61C4E68CB678A399B3|/
.NET Framework 4.6 Preview (x86 and x64) - (Multiple Languages),ed2k://|file|mu_.net_framework_4.6_preview_x86_x64_5953252.exe|65161208|70CC2E66C3AADB309D169E9DE0BC1A21|/
".NET Framework 4.6 for Windows Vista SP2, 7 SP1, 8, 8.1, Windows Server 2008 SP2, 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - Offline Installer (Multiple Languages)",ed2k://|file|mu_.net_fx_4.6_for_win_vista_sp2_7sp1_8_8dot1_win_server_2008sp2_2008r2sp1_2012_2012r2_x86_x64_oi_6837939.exe|65444688|CDD2BBDC8148F3E907DAF8A7E5DCA68A|/
".NET Framework 4.5.1 Developer Pack - Windows Vista SP2, Windows 7 SP1, Windows 8, Windows Server 2008 SP2, Windows Server 2008 R2 SP1, Windows Server 2012 (x86 and x64) - (Multiple Languages)",ed2k://|file|mu_.net_fx_4_5_1_dp_win_vistasp2_win_7sp1_win_8_win_8_1_win_server_2008sp2_win_server_2008_r2sp1_win_server_2012_win_server_2012r2_x86_x64_3009815.exe|208261120|823B46A0F892EF0DC7226E7B7522BE6E|/
".NET Framework 4.5.1 Language Pack - Windows Vista SP2, Windows 7 SP1, Windows 8, Windows Server 2008 SP2, Windows Server 2008 R2 SP1, Windows Server 2012 (x86 and x64) - (Chinese-Simplified)",ed2k://|file|cn_.net_fx_4_5_1_lp_windows_vistasp2_windows_7sp1_windows_8_windows_server_2008sp2_windows_server_2008r2sp1_windows_server_2012_x86_x64_3009853.exe|5883944|365D833D969AF7ECC5416D0D77EC28A7|/
".NET Framework 4 KB2468871 (x86, x64, and ia64) - (Multiple Languages)",ed2k://|file|mu_.net_framework_4_kb2468871_x86_x64_ia64_651713.exe|27969504|C1584B7405B1BD7F3383D8451744C541|/
".NET Framework 3.5 Service Pack 1 (x86, x64, ia64) - EXE (English)",ed2k://|file|en_.net_framework_3.5_service_pack_1_x86_x64_ia64.exe|242743296|C8B10D7008E5C32BD5BA03CA0E41BA7B|/
.NET Framework 2.0 Service Pack 2 (ia64) - EXE (English),ed2k://|file|en_.net_framework_2.0_service_pack_2_ia64.exe|54762512|33D491757CF8DF4403619C0E7530A2E0|/
Microsoft .NET Framework 4 for Server Core (x64) - (English),ed2k://|file|en_microsoft_.net_framework_4_for_server_core_x64_sc_640395.exe|50452584|A0590F39D7615E0BB397BFE59BFE9671|/
.NET Framework 4.5 (x86 and x64) - Web Installer (Multilanguage),ed2k://|file|mu_.net_framework_4.5_r2_x86_x64_web_installer_1076096.exe|1005568|CAE232B83D0FA6D483F0882306AE258D|/
.NET Framework 4.5 Language Pack (x86 and x64) - (Chinese-Traditional),ed2k://|file|ct_.net_framework_4.5_language_pack_x86_x64_921027.exe|4118272|827C4BD93EF6E93E9D2636BEB4504D97|/
.NET Framework 4.5 Language Pack (x86 and x64) - (Chinese-Simplified),ed2k://|file|cn_.net_framework_4.5_language_pack_x86_x64_921026.exe|4150352|8383C688BD174FE3F327D846A9F4CE4E|/
".NET Framework 4.6 LP for Windows Vista SP2, 7 SP1, 8, 8.1, Windows Server 2008 SP2, 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - (Chinese-Simplified)",ed2k://|file|cn_.net_fx_4.6_lp_for_win_vista_sp2_7sp1_8_8dot1_win_server_2008sp2_2008r2sp1_2012_2012r2_x86_x64_oi_6837924.exe|5965096|D2AA4AFA4BE176814825112370FF6E4C|/
.NET Framework 4.6 Preview Language Pack (x86 and x64) - (Chinese-Simplified),ed2k://|file|cn_.net_framework_4.6_preview_language_pack_x86_x64_5953253.exe|6247056|207304F378A86C48E2B27EEE16888C4F|/
".NET Framework 4.6.2 Language Pack (Offline Installer) for Windows 7 SP1, 8.1, 10, Windows Server 2008 SP2, 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - (Chinese-Simplified)",ed2k://|file|cn_.net_fx_4_6_2_lp_for_win_7sp1_8dot1_10_win_server_2008sp2_2008r2sp1_2012_2012r2_x86_x64_9058194.exe|5379504|23AD6D9A974CDD3F448A9D8E22BAB285|/
".NET Framework 4.6.2 Preview Language Pack (Offline Installer) for Windows 7 SP1, 8.1, 10, Windows Server 2008 R2 SP1, 2012 and 2012 R2 (x86 and x64) - (Chinese-Simplified)",ed2k://|file|cn_.net_fx_4.6.2_preview_lp_for_win_7sp1_8dot1_10_win_server_2008r2sp1_2012_2012r2_x86_x64_8481503.exe|5391184|05F483C8A43F3ADEB0423F6F35FFE0F3|/
Windows XP Embedded with Service Pack 2 - ISO CD3 (English),ed2k://|file|en_winxp_embedded_sp2_CD3.iso|336414720|01C61CF91B6D2494BBF5738FC13EF673|/
Windows Embedded CE 6.0 R3 - DVD (English),ed2k://|file|en_windows_embedded_ce_6.0_r3_dvd_x16-28730.iso|1227706368|D58747A6B4D7506E38B06D672B7B783B|/
Windows Embedded CE 6.0 (English),ed2k://|file|en_windows_embedded_ce_6.0_dvd.iso|4080269312|CA522D369210AFE01266B3E4732E85E5|/
Windows Embedded CE 6.0 R2 (x64) - DVD (English),ed2k://|file|en_windows_embedded_ce_6.0_r2_x64_dvd_x13-95609.iso|2048088064|B6D48B6F6DAB04D5376E4FCF07F2C3D3|/
Windows Embedded 8.1 Industry Pro with Update (x64) - DVD (English),ed2k://|file|en_windows_embedded_8.1_industry_pro_with_update_x64_dvd_6052086.iso|3924887552|15C312E995F9B4BF208E6CB4B14EE1C1|/
Windows Embedded 8.1 Industry Pro with Update (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_embedded_8.1_industry_pro_with_update_x64_dvd_6052079.iso|4095315968|C92DDA0E6F1F1ADAF37BE8C793DDDD26|/
Windows Embedded 8.1 Industry Pro (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_windows_embedded_8_1_industry_pro_x86_dvd_2707455.iso|2856384512|7A513EE9ABB2E6E463B25AA519597748|/
Windows Embedded Standard 7 Toolkit (x86) - DVD (English),ed2k://|file|en_windows_embedded_standard_7_toolkit_x86_dvd_521705.iso|4541947904|6D2DC536DA4442F3BDC086A229B5B707|/
Visual Studio Tools for the Microsoft Office System 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_VSTO.iso|3010560|4206388DBCC41374A23CA23705C45FF2|/
Visual Studio LightSwitch 2011 Web Installer (x86) - (Chinese-Traditional),ed2k://|file|ct_visual_studio_lightswitch_2011_web_installer_x86_682001.exe|3903824|5004EA004E7F44F807B38B60D7E5356E|/
Visual Studio Professional 2017 RC (x86 and x64) - (Multiple Languages),ed2k://|file|mu_visual_studio_professional_2017_rc_x86_x64_9927303.exe|1066088|2AECB38642C331FC6115E55EC3CEAF76|/
Team Foundation Server Express 2017 (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_team_foundation_server_express_2017_x64_dvd_9579609.iso|380022784|2851CF25C81B4531495C6F0BD7A03599|/
Visual Studio Professional 2017 (x86 and x64) - (Multiple Languages),ed2k://|file|mu_visual_studio_professional_2017_x86_x64_10049787.exe|1037432|EB5F179A54592175E54145CEDBC3848C|/
Team Foundation Server Express 2017 Update 1 (x64) - DVD (Chinese-Simplified),ed2k://|file|cn_team_foundation_server_express_2017_update_1_x64_dvd_10095731.iso|447660032|EFD3591BDFDB5879F7985792DB4211CF|/
Visual Studio Professional 2017 (version 15.7) (x86 and x64) - (Multiple Languages),ed2k://|file|mu_visual_studio_professional_2017_version_15.3_x86_x64_11100064.exe|1069960|900673A59F0798822207F72FAA0DA6A9|/
Visual Studio for Mac (Mac) - (Multiple Languages),ed2k://|file|mu_visual_studio_for_mac_mac_10468896.dmg|26944731|FBE947BC68002556294CB0A433EB8444|/
Visual Studio LightSwitch 2011 Web Installer (x86) - (English),ed2k://|file|en_visual_studio_lightswitch_2011_web_installer_x86_682002.exe|3895120|FDC32475E1D2B4D3890FEB9B369D3AF3|/
Visual Studio LightSwitch 2011 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_lightswitch_2011_x86_dvd_681204.iso|654024704|A438E8C7E25B3D4D01D9809FD40EA0C8|/
Visual Studio Enterprise 2015 with Update 3 (x86 and x64) - DVD (English),ed2k://|file|en_visual_studio_enterprise_2015_with_update_3_x86_x64_dvd_8923288.iso|7758430208|A1EC42A6FFB53B821BED2E7BA52FC1DE|/
Visual Studio Professional 2015 with Update 3 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_professional_2015_with_update_3_x86_x64_dvd_8923256.iso|7745202176|DD35D3D169D553224BE5FB44E074ED5E|/
Visual Studio 2015 Update 2 (x86 and x64) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2015_update_2_x86_x64_dvd_8508603.iso|6177492992|CCA3280286802875B779BDEE3184E2BC|/
Visual Studio 2015 Update 1 (x86 and x64) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2015_update_1_x86_x64_dvd_7288688.iso|3965278208|6F314AA5638D15020A302060673C9DB8|/
Visual Studio Team Foundation Server Express 2015 with Update 1 (x86 and x64) - DVD (English),ed2k://|file|en_visual_studio_team_foundation_server_express_2015_with_update_1_x86_x64_dvd_7288779.iso|1097963520|00E2BE6E0019AEDE3D73093A47F58796|/
Visual Studio Professional 2015 RC (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_professional_2015_rc_x86_dvd_6649993.iso|4015476736|92141E89AE28E92AD6C8C547DA4FBFA0|/
Visual Studio Team Foundation Server Express 2015 with Update 1 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_team_foundation_server_express_2015_with_update_1_x86_x64_dvd_7288727.iso|1153501184|8042BE257EE5103C726418D4792C3FA2|/
Visual Studio Professional 2015 with Update 2 (x86 and x64) - DVD (English),ed2k://|file|en_visual_studio_professional_2015_with_update_2_x86_x64_dvd_8509105.iso|7569250304|B61C623B26E7F1BFE50381A44A58987A|/
Visual Studio Professional 2015 with Update 2 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_professional_2015_with_update_2_x86_x64_dvd_8509246.iso|7591639040|AE734B5731B7DD489102A1101BE4595B|/
Multibyte MFC Library for Visual Studio 2015 Preview (x86) - (Multiple Languages),ed2k://|file|mu_multibyte_mfc_library_for_visual_studio_2015_preview_x86_5957685.exe|109425536|DBBD602E6290402ADF7F09C9037CDC92|/
Visual Studio 2015 Preview SDK (x86) - (English),ed2k://|file|en_visual_studio_2015_preview_sdk_x86_5957778.exe|16444192|6F6DEEF61B43A7301C730D9B9C425FC2|/
Visual Studio Ultimate 2015 Preview (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2015_preview_x86_dvd_5957669.iso|4795791360|4674C115869FF5C0CC01040405364BD6|/
Visual Studio 2013 Update 5 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2013_update_5_x86_dvd_6815499.iso|6407950336|1F292D0E43A6274B210689F694BDF58B|/
Visual Studio 2013 Update 4 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2013_update_4_x86_dvd_5921353.iso|6249627648|06F4C60529701F3D652D80FF6E25635C|/
Visual Studio 2013 Update 3 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2013_update_3_x86_dvd_4834754.iso|4278736896|BAE538BA7494A00C54C278AB680629FF|/
Visual Studio Ultimate 2013 with Update 3 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2013_with_update_3_x86_dvd_4837931.iso|6715807744|56786CD199646498377436680A46A4F6|/
Visual Studio 2013 Update 2 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2013_update_2_x86_dvd_4238353.iso|3764328448|66362AFA807FDE3816FB5706A34B4434|/
Visual Studio Ultimate 2013 with Update 2 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2013_with_update_2_x86_dvd_4238238.iso|6213523456|BD070868A0A9662C9B592F73E95619EB|/
Visual Studio Ultimate 2013 with Update 4 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2013_with_update_4_x86_dvd_5935081.iso|7607138304|05E262C3EF542785D26FA4D3F1560AED|/
Visual Studio Ultimate 2013 with Update 5 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2013_with_update_5_x86_dvd_6816649.iso|5567336448|641555AD6472A98923B29CC5E371461E|/
Visual Studio Professional 2015 (x86 and x64) - DVD (English),ed2k://|file|en_visual_studio_professional_2015_x86_x64_dvd_6846629.iso|4070930432|A40FEC08A6758EEF5957D565EF27F2AD|/
Visual Studio Ultimate 2013 RC (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2013_rc_x86_dvd_2760148.iso|3204331520|26B90733A1855B048DE7FB7D765C486D|/
Visual Studio Ultimate 2013 Preview (x86) - DVD (English),ed2k://|file|en_visual_studio_ultimate_2013_preview_x86_dvd_2359750.iso|3151886336|F844C199FF61EEB8EF65FD89326A75CA|/
Visual Studio Ultimate 2013 (x86) - DVD (English),ed2k://|file|en_visual_studio_ultimate_2013_x86_dvd_3009107.iso|3024457728|88ABAD28F04D52A45F060BBC48B3DF8A|/
Visual Studio 2012 Update 5 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2012_update_5_x86_dvd_6967467.iso|2538768384|405A484D70CA922DC6FC1F204818D412|/
Visual Studio Ultimate 2013 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2013_x86_dvd_3175316.iso|3077509120|ADDA34B2BC29E1571276AE50A220EB91|/
Visual Studio 2012 Update 3 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2012_update_3_x86_dvd_2364556.iso|2237786112|BB41D86FE18C53A6D9ED0E57ED0C2DAF|/
Visual Studio Team Foundation Server Express 2012 with Update 3 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_team_foundation_server_express_2012_with_update_3_x86_x64_dvd_2339274.iso|546205696|5B994B43F8FF78D220D8E16CCFD8977B|/
Visual Studio 2012 Update 4 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2012_update_4_x86_dvd_3161759.iso|2509815808|B94434AE9E3B26AE9F9D56F52DA43B92|/
Visual Studio Ultimate 2013 Preview (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2013_preview_x86_dvd_2360566.iso|3200098304|4081161F187A4905EB1930DAE815A504|/
Visual Studio 2013 Update 1 (x86) - DVD (Multiple Languages),ed2k://|file|mu_visual_studio_2013_update_1_x86_dvd_3941051.iso|257343488|C74670304D2B088ABAA599CC6893B2DA|/
Visual Studio Test Professional 2015 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_test_professional_2015_x86_x64_dvd_6846827.iso|262434816|D46E18A278E5B331D1825A42A4A28611|/
Visual Studio Ultimate 2012 (x86) - DVD (Chinese-Traditional),ed2k://|file|ct_visual_studio_ultimate_2012_x86_dvd_920956.iso|1644306432|7AE8F185E2AC2F05BD307E796C16F52D|/
Visual Studio Ultimate 2012 (x86) - DVD (English),ed2k://|file|en_visual_studio_ultimate_2012_x86_dvd_920947.iso|1594998784|1BBECB1C7A892DA7D97EC4C840953915|/
Visual Studio 2010 Service Pack 1 Web Installer (x86) - (Multiple Languages),ed2k://|file|mu_visual_studio_2010_sp1_web_installer_x86_651694.exe|813920|DF43C975F47C035861536DE8C20AE8EB|/
Visual Studio 2010 Ultimate (x86) - DVD (Russian),ed2k://|file|ru_visual_studio_2010_ultimate_x86_dvd_528427.iso|2739044352|B09CCE68E964980D4649AD56F163C155|/
Visual Studio Team System 2008 Team Suite (x86) - DVD (English),ed2k://|file|en_visual_studio_team_system_2008_team_suite_x86_dvd_X14-26461.iso|4111650816|C5A226DD3EB56ECADA202DD0139D93A1|/
Visual Studio Enterprise 15 Preview 5 (x86 and x64) - (Multiple Languages),ed2k://|file|mu_visual_studio_enterprise_15_preview_5_x86_x64_9409219.exe|1017888|80DDEBE8914561A1F420532A486EDB3C|/
Visual Studio 2005 Service Pack 1 - DVD (Multilanguage),ed2k://|file|mu_visual_studio_2005_service_pack_1_dvd_X13-40126.iso|4670547968|2079115D2F22AD7FA3B8839020143BE4|/
Visual Studio Enterprise 15 Preview 3 (x86 and x64) - Web Installer (English),ed2k://|file|en_visual_studio_enterprise_15_preview_3_x86_x64_web_installer_8961844.exe|3149584|1E58887BB740F78AE2ACF69BD53319A5|/
Visual Studio Enterprise 15 Preview 2 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_enterprise_15_preview_2_x86_x64_dvd_8703142.iso|2969722880|D9068050741068275CC588B3D29BA2D1|/
Visual Studio Enterprise 15 Preview 3 (x86 and x64) - Web Installer (Chinese-Simplified),ed2k://|file|cn_visual_studio_enterprise_15_preview_3_x86_x64_web_installer_8961847.exe|3209088|3E75CCE8644A7B30FF12CA5AB40F037F|/
Visual Studio Enterprise 15 Preview 4 (x86 and x64) - (English),ed2k://|file|en_visual_studio_enterprise_15_preview_4_x86_x64_9204111.exe|1016768|D38A5FA0997921DA3B06040E2B1C6C69|/
